Country_of_Origin,Region,Total_Cup_Points
Uganda,west nile,82.92
Guatemala,antigua,82.92
Guatemala,antigua,82.92
Guatemala,,82.92
Colombia,huila,82.92
Colombia,huila,82.92
Guatemala,huehuetenango,82.92
Colombia,antioquia,82.92
Mexico,petatlan,82.92
Vietnam,don duong,82.92
Mexico,la cumbre,82.92
United States (Hawaii),kona,82.92
Colombia,cauca,82.92
Thailand,,82.92
Kenya,nyeri,82.83
Guatemala,san marcos,82.83
Brazil,south of minas,82.83
El Salvador,"el balsamo, quezaltepec",82.83
Rwanda,gicumbi,82.83
Vietnam,vietnam tutra,82.83
Guatemala,oriente,82.83
Brazil,cerrado,82.83
Colombia,huila,82.83
United States,berastagi,82.83
Guatemala,antigua,82.83
Colombia,santander,82.83
Colombia,huila,82.83
"Tanzania, United Republic Of",arusha,82.83
Mexico,la concordia,82.83
Mexico,veracruz,82.83
Guatemala,oriente,82.83
Mexico,la concordia,82.83
El Salvador,santa ana,82.83
Guatemala,santa rosa,82.75
Guatemala,santa rosa,82.75
Guatemala,san marcos,82.75
Guatemala,santa rosa,82.75
Guatemala,oriente,82.75
Indonesia,sapan toraja,82.75
Guatemala,el progreso,82.75
Taiwan," ( dongshan dist., tainan city)",82.75
El Salvador,cacahuatique,82.75
Costa Rica,tarrazu,82.75
Honduras,comayagua,82.75
Brazil,south of minas,82.75
China,yunnan,82.75
China,menglian,82.75
Colombia,huila,82.75
Malawi,mzuzu,82.75
Guatemala,jalapa,82.75
Colombia,huila,82.75
United States (Hawaii),kona,82.75
United States (Hawaii),kona,82.75
Colombia,antioquia,82.75
Mexico,chiapas,82.75
Mexico,veracruz,82.75
Mexico,atoyac de alvarez,82.75
Colombia,south huila,82.75
Colombia,huila,82.75
United States (Hawaii),kona,82.75
Panama,boquete,82.75
United States (Hawaii),kona,82.75
Brazil,south of minas,82.67
Brazil,south of minas,82.67
Laos,"paksong,laos",82.67
El Salvador,"el balsamo, quezaltepec",82.67
Mexico,veracruz,82.67
Colombia,huila,82.67
Brazil,south of minas,82.67
Brazil,monte carmelo,82.67
"Tanzania, United Republic Of",karatu arusha,82.67
"Tanzania, United Republic Of",mbinga,82.67
Taiwan,Chiayi Alishan,82.67
Mexico,la yerba,82.67
Uganda,mt elgon,82.67
Taiwan,chiayi alishan  ,82.67
Thailand,phahi,82.67
Colombia,huila,82.67
El Salvador,,82.67
Guatemala,antigua,82.67
Thailand,thailand,82.67
Mexico,,82.67
Mexico,mahuixtlan,82.67
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,82.67
United States (Hawaii),kona,82.67
Mexico,mexico,82.67
Colombia,huila,82.67
Colombia,,82.67
Guatemala,oriente,82.58
Taiwan,  guoshing township,82.58
Brazil,south of minas,82.58
Taiwan,changhua baguashan  ,82.58
Brazil,campos altos - cerrado,82.58
Indonesia,aceh,82.58
Thailand,thailand,82.58
Thailand,chiangrai,82.58
"Tanzania, United Republic Of",ikand village,82.58
Uganda,eastern,82.58
Costa Rica,central valley,82.58
Mexico,veracruz,82.58
Guatemala,,82.58
Colombia,huila,82.58
Colombia,huila,82.58
Colombia,huila,82.58
Mexico,oaxaca,82.58
Mexico,colima,82.58
Colombia,huila,82.58
Brazil,south of minas,82.58
Brazil,south of minas,82.5
Indonesia,bali,82.5
Honduras,comayagua,82.5
Guatemala,oriente,82.5
Thailand,thailand,82.5
Thailand,chiangrai,82.5
"Tanzania, United Republic Of",karatu arusha,82.5
"Tanzania, United Republic Of",moshi,82.5
Mexico,chiapas,82.5
Brazil,south of minas,82.5
Guatemala,oriente,82.5
Colombia,huila,82.5
Guatemala,oriente,82.5
Mexico,san bartolo tutotepec,82.5
Mexico,zapotitlan de mendez,82.5
Mexico,la concordia,82.5
Guatemala,oriente,82.5
Brazil,carmo de minas,82.5
Colombia,huila,82.5
United States (Hawaii),kona,82.5
Guatemala,huehuetenango,82.5
Honduras,"comayagua, honduras",82.42
Guatemala,san marcos,82.42
Guatemala,san marcos,82.42
Guatemala,el progreso,82.42
Guatemala,santa rosa,82.42
Colombia,guayata,82.42
China,yunnan,82.42
Brazil,campos altos - cerrado,82.42
"Tanzania, United Republic Of",arusha meru,82.42
Brazil,south of minas,82.42
Guatemala,atitlan,82.42
Mexico,la yerba,82.42
Brazil,south of minas,82.42
Peru,peru,82.42
Brazil,south of minas,82.42
Mexico,veracruz,82.42
Honduras,,82.42
Colombia,huila,82.42
Mexico,chiapas,82.42
Mexico,san pedro cotzilnam,82.42
Mexico,coatepec,82.42
Mexico,xalapa,82.42
Mexico,zihuatanejo de azueta,82.42
Mexico,veracruz,82.42
Mexico,xicotepec de juarez,82.42
Mexico,progreso santa rosa teocelo,82.42
Mexico,fln mirador,82.42
Colombia,huila,82.42
Brazil,south of minas,82.42
Colombia,huila,82.42
Colombia,huila,82.42
Honduras,comayagua,82.33
Brazil,cerrado,82.33
Brazil,cerrado,82.33
Brazil,south of minas,82.33
Costa Rica,tarrazu,82.33
Costa Rica,tarrazu,82.33
China,xishuangbanna prefecture,82.33
Brazil,south of minas,82.33
Brazil,chapadão de ferro (cerrado mineiro),82.33
Guatemala,huehuetenango,82.33
Malawi,mzuzu,82.33
Brazil,south of minas,82.33
Guatemala,jalapa,82.33
Mexico,veracruz,82.33
Colombia,antioquia,82.33
Taiwan,changhua baguashan  ,82.33
Taiwan,taichung xinshe New Community,82.33
Guatemala,oriente,82.33
Colombia,huila,82.33
Mexico,"la concordia, chiapas",82.33
Costa Rica,central valley,82.33
Guatemala,jalapa,82.33
Mexico,"jaltocan, hidalgo",82.33
Mexico,veracruz,82.33
Guatemala,oriente,82.33
Brazil,grama valley,82.33
Mexico,santa catarina juquila,82.33
Brazil,south of minas,82.33
Colombia,huila,82.33
Brazil,brazil matas de minas,82.25
Taiwan,,82.25
Guatemala,nuevo oriente,82.25
Brazil,south of minas,82.25
El Salvador,apaneca,82.25
Honduras,marcala,82.25
Malawi,mzuzu,82.25
Brazil,south of minas,82.25
Taiwan,nantou,82.25
Mexico,veracruz,82.25
United States (Hawaii),kona,82.25
Mexico,"calnali, hidalgo",82.25
Guatemala,antigua,82.25
Mexico,veracruz,82.25
Mexico,juquila,82.25
El Salvador,,82.25
Mexico,veracruz,82.25
Mexico,canoas,82.25
Colombia,huila,82.25
Colombia,huila,82.25
Brazil,,82.25
Colombia,cauca,82.25
Brazil,south of minas,82.17
Honduras,comayagua,82.17
Nicaragua,jinotega,82.17
"Tanzania, United Republic Of",ruvuma,82.17
"Tanzania, United Republic Of",northern,82.17
Brazil,south of minas,82.17
Thailand,thailand,82.17
Honduras,marcala,82.17
Guatemala,atitlan,82.17
Brazil,cerrado,82.17
"Tanzania, United Republic Of","ilomba vilage, mbozi",82.17
Mexico,veracruz,82.17
Mexico,"la concordia, chiapas",82.17
Taiwan,yunlin Shibi,82.17
Taiwan,"dongshan dist., tainan city  ",82.17
Colombia,huila,82.17
Mexico,san bartolo tutotepec,82.17
Guatemala,oriente,82.17
Mexico,altotonga,82.17
Mexico,colima,82.17
Colombia,huila,82.17
Indonesia,aceh gayo,82.08
Colombia,huila,82.08
Brazil,south of minas,82.08
Brazil,south of minas,82.08
Costa Rica,tres rios,82.08
"Tanzania, United Republic Of",kilimanjaro,82.08
"Tanzania, United Republic Of",ngorogoro,82.08
Colombia,,82.08
Costa Rica,turrialba,82.08
United States (Hawaii),kona,82.08
Mexico,coatepec,82.08
Mexico,tapachula,82.08
Mexico,coatepec,82.08
Vietnam,don duong,82.08
Mexico,veracruz,82.08
United States (Hawaii),kona,82.08
Colombia,cauca,82.08
Honduras,el paraíso,82.0
Honduras,guinope el paraíso,82.0
Brazil,south of minas,82.0
"Tanzania, United Republic Of",kilimanjaro,82.0
Laos,lao p.d.r.,82.0
"Tanzania, United Republic Of",meru,82.0
Malawi,mzuzu,82.0
Taiwan,"dongshan dist., tainan city  ",82.0
Thailand,thailand,82.0
Costa Rica,central valley,82.0
Honduras,occidental,82.0
Colombia,huila,82.0
Taiwan,"dongshan dist., tainan city  ",82.0
Brazil,"minas gerais, br",82.0
Mexico,coscomatepec,82.0
Brazil,south of minas,82.0
Brazil,cerrado,82.0
Guatemala,san marcos,82.0
Brazil,south of minas,82.0
Guatemala,oriente,82.0
Colombia,huila,82.0
Guatemala,oriente,81.92
Guatemala,santa rosa,81.92
Honduras,comayagua,81.92
Brazil,monte carmelo,81.92
El Salvador,"el balsamo, quezaltepec",81.92
Guatemala,nuevo oriente,81.92
"Tanzania, United Republic Of",mbeya,81.92
Nicaragua,,81.92
Zambia,mubuyu estate,81.92
Honduras,,81.92
Taiwan,taichung xinshe New Community,81.92
Mexico,chiapas,81.92
Mexico,"chapulhuacan, hidalgo",81.92
Mexico,"huazalingo, hidalgo",81.92
Mexico,veracruz,81.92
Mexico,fortín de las flores,81.92
Brazil,grama valley,81.92
Colombia,cundinamarca,81.92
Guatemala,oriente,81.83
Costa Rica,tarrazu,81.83
Brazil,monte carmelo,81.83
Indonesia,bali,81.83
Guatemala,norte,81.83
Brazil,south of minas,81.83
Brazil,south of minas,81.83
Myanmar,ywar ngan,81.83
Mexico,chiapas,81.83
Honduras,marcala,81.83
Costa Rica,tres rios,81.83
Taiwan,"dongshan dist., tainan city  ",81.83
Indonesia,lington nihuta,81.83
Malawi,kakoma,81.83
Brazil,south of minas,81.83
Honduras,comayagua,81.83
Mexico,"siltepec el triunfo, chiapas, mexico",81.83
Colombia,huila,81.83
United States (Hawaii),kona,81.83
Brazil,sul de minas,81.83
Guatemala,oriente,81.83
Mexico,veracruz,81.83
Mexico,coatepec,81.83
Brazil,cerrado,81.83
Colombia,huila,81.83
United States (Hawaii),kona,81.83
Guatemala,san marcos,81.75
Vietnam,vietnam,81.75
"Tanzania, United Republic Of",ngorogoro,81.75
Brazil,,81.75
Mexico,"tenango de doria, hidalgo",81.75
Mexico,tepictla,81.75
Mexico,oaxaca,81.75
Mexico,la concordia,81.75
Mexico,la concordia,81.75
Colombia,huila,81.75
Colombia,huila,81.75
Brazil,south of minas,81.67
Guatemala,san marcos,81.67
Guatemala,santa rosa,81.67
Honduras,marcala,81.67
"Tanzania, United Republic Of",mbinga,81.67
Nicaragua,jinotega,81.67
Colombia,la plata,81.67
Brazil,south of minas,81.67
"Tanzania, United Republic Of",mbinga,81.67
"Tanzania, United Republic Of","ilomba vilage, mbozi",81.67
Brazil,south of minas,81.67
Indonesia,bener meriah,81.67
Honduras,comayagua,81.67
Costa Rica,tarrazu,81.67
Mexico,veracruz,81.67
Taiwan,changhua baguashan  ,81.67
Taiwan,nantou,81.67
Mexico,"la concordia, chiapas",81.67
Guatemala,jalapa,81.67
Mexico,tuxtla gutierrez,81.67
Mexico,yajalon,81.67
Mexico,veracruz,81.67
Mexico,"la concordia, chiapas",81.67
Mexico,"sacún palma, municipio de chilón, chiapas",81.67
United States (Hawaii),kona,81.67
Honduras,western region,81.58
Guatemala,huehuetenango,81.58
Taiwan,natou county,81.58
Costa Rica,turrialba,81.58
"Tanzania, United Republic Of","oldeani , mongola",81.58
Malawi,mzuzu,81.58
Taiwan,natou county,81.58
Brazil,south of minas,81.58
Guatemala,oriente,81.58
Mexico,"la concordia, chiapas",81.58
Mexico,la concordia,81.58
Mexico,la concordia,81.58
