,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
17,Indonesia,sulawesi,Grounds for Health Admin,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,87.42
18,Ethiopia,yirgacheffe,Ethiopia Commodity Exchange,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,87.33
19,China,yunnan,Yunnan Coffee Exchange,Catimor,8.42,8.25,8.08,8.17,7.92,8,10,10,10,87.25
20,Ethiopia,gedio,EssenceCoffee,Ethiopian Yirgacheffe,8.17,8.17,8,8.17,8.08,8.33,10,10,10,87.25
21,United States,antioquia,CQI Q Coffee Sample Representative,Other,8,8.25,8.08,8.5,8.25,8,10,10,10,87.25
22,Costa Rica,san ramon,The Coffee Source Inc.,Caturra,8.08,8.25,8,8.17,8,8.33,10,10,10,87.17
23,Mexico,xalapa,ROBERTO LICONA FRANCO,Other,8.17,8.25,8.17,8,7.83,8.17,10,10,10,87.17
24,United States,antioquia,CQI Q Coffee Sample Representative,Other,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,87.08
25,Ethiopia,sidamo,Ji-Ae Ahn,,8.42,8.17,7.92,8.17,8.33,8,10,10,10,87.08
26,Brazil,south of minas,NUCOFFEE,Bourbon,8.5,8.5,8,8,8,8,10,10,10,86.92
27,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,86.92
28,Uganda,kapchorwa eastern,Kabum Trading company,SL14,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,86.83
29,Honduras,comayagua,Bismarck Castro,Caturra,8.17,8.08,8.08,8,8.08,8,10,10,10,86.67
30,Taiwan,"leye, alishan township, chiayi county","Lin, Che-Hao Krude 林哲豪",Sumatra,8,8,8,8.25,8,8.17,10,10,10,86.58
31,Nicaragua,,Nora Zeas,,7.92,8.25,8,8.33,8,8.08,10,10,10,86.58
32,"Tanzania, United Republic Of",,Specialty Coffee-Korea,,8.42,8.17,8.17,8,7.58,8,10,10,10,86.5
33,Brazil,vale da grama,NUCOFFEE,Bourbon,8.5,8.17,8,7.75,8,8,10,10,10,86.42
34,Costa Rica,west and central valley,Francisco A Mena,Caturra,8.17,7.83,8,8.08,7.83,8,10,10,10,86.33
35,Ethiopia,oromia,Hider Abamecha,,8,8.08,7.92,8,8.08,8.08,10,10,10,86.25
36,Kenya,muranga,Daniel Magu,SL34,8.08,8,8,8.25,7.92,7.92,10,10,10,86.25
37,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,8.08,8.17,8,7.92,7.92,7.83,10,10,10,86.25
38,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,86.25
39,Ethiopia,yirgacheffe,Ethiopia Commodity Exchange,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,86.25
40,United States,antioquia,CQI Q Coffee Sample Representative,Other,7.67,8.17,8,8,8.17,8.08,10,10,10,86.17
41,Thailand,chiang rai,ITDP International,Caturra,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,86.17
42,Brazil,sul de minas - carmo de minas,Jacques Pereira Carneiro,Yellow Bourbon,8.17,7.92,7.92,7.75,8.33,8,10,10,10,86.17
43,Brazil,sul de minas - carmo de minas,Jacques Pereira Carneiro,Yellow Bourbon,8.42,7.92,8,7.75,7.92,8,10,10,10,86.17
44,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪",Bourbon,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,86.08
45,Kenya,nyeri,Jungle Estate,SL28,8.08,8.08,8,8,7.83,8.08,10,10,10,86.08
46,Brazil,south of minas,NUCOFFEE,Bourbon,8.33,8,8,8,7.75,8,10,10,10,86.08
47,Uganda,eastern uganda,Great Lakes Coffee Uganda,,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,86
48,Colombia,tolima,LUSSO LAB,Caturra,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,86
49,Kenya,kiambu,LUSSO LAB,SL28,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,86
50,Uganda,"sipi, mt elgon",AFCA,Other,8.25,8,7.83,8.08,8,7.92,10,10,10,86
51,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.75,8.08,8,8.25,8,8,10,10,10,86
52,United States (Hawaii),kona,Grounds for Health Admin,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,86
53,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Bourbon,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,85.92
54,Uganda,eastern,Kawacom Uganda LTD,SL14,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,85.92
55,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,8,8,8,8.17,7.83,8,10,10,10,85.92
56,Panama,boquete,Gonzalo Hernandez,Gesha,8,8,7.92,8.08,7.83,8,10,10,10,85.83
57,Ethiopia,oromia,Ibrahim Hussien Speciality Coffee Producer &Export,,7.83,8.08,7.92,8.08,8,7.92,10,10,10,85.83
58,Guatemala,acatenango,Juan Luis Alvarado Romero,Bourbon,7.83,8,8,8.17,7.83,8,10,10,10,85.83
59,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Catuai,8,8,7.83,8.33,7.83,7.83,10,10,10,85.83
60,Ethiopia,addis ababa,SEID DAMTEW COFFEE PLANATAION,Caturra,7.83,8,7.83,8.17,7.92,8,10,10,10,85.75
61,Peru,cajamarca,Dane Loraas,,8,8,8,8.08,7.92,7.75,10,10,10,85.75
62,Papua New Guinea,eastern highlands province,"Colbran Coffeelands, Ltd.",,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,85.75
63,El Salvador,apaneca,Atlantic Specialty Coffee,Bourbon,7.92,8.17,8,7.92,7.75,7.83,10,10,10,85.58
64,El Salvador,"ataco, apaneca - ilamatepec mountain range",LUSSO LAB,Bourbon,7.83,8,8,7.75,7.92,8.17,10,10,10,85.58
65,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.83,8,7.92,7.75,8.08,8,10,10,10,85.58
66,Panama,boquete,EssenceCoffee,Caturra,8,7.75,7.83,7.83,7.67,8.58,10,10,10,85.5
67,Kenya,kirinyaga,EssenceCoffee,SL28,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,85.5
68,Ethiopia,oromia,Assefa Belay Coffee Producer,Other,7.83,8,7.83,7.92,7.83,8.08,10,10,10,85.5
69,Uganda,bulambuli eastern region,Kyagalanyi Ltd,SL14,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,85.5
70,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Bourbon,8,7.83,7.67,8.33,7.83,8,10,10,10,85.5
71,Ethiopia,oromia,Assefa Belay Coffee Producer,,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,85.42
72,Uganda,kapchorwa,Great Lakes Coffee Uganda,SL14,8.08,8,7.83,7.67,8,7.83,10,10,10,85.42
73,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,85.42
74,Brazil,south of minas,NUCOFFEE,Bourbon,8,8,8,7.67,7.75,8,10,10,10,85.42
75,El Salvador,apaneca,Grounds for Health Admin,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,85.42
76,China,yunnan,Yunnan Coffee Exchange,Catimor,8,8,8,7.83,7.83,7.75,10,10,10,85.33
77,Guatemala,huehuetenango,EssenceCoffee,Pacamara,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,85.33
78,Costa Rica,west valley,The Coffee Source Inc.,Caturra,7.92,8.08,8,7.92,8,8.08,10,10,9.33,85.33
79,Costa Rica,san ramon,The Coffee Source Inc.,Caturra,8,7.58,7.58,7.67,8.08,8.5,10,10,10,85.33
80,Kenya,central kenya,RASHID MOLEDINA & CO. (MSA) LTD.,SL34,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,85.33
81,Kenya,central kenya,Ibero Kenya Limited,SL34,8,7.92,7.92,8.08,7.83,7.75,10,10,10,85.33
82,Ethiopia,yirgacheffe,Ethiopia Commodity Exchange,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,85.33
83,Ethiopia,yirgacheffe,Ethiopia Commodity Exchange,Typica,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,85.33
84,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,8,7.92,7.75,8,7.92,7.83,10,10,10,85.25
85,Colombia,santander,Exportadora de Cafe Condor S.A,Caturra,8.17,7.92,7.83,8,7.58,7.83,10,10,10,85.25
86,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.58,8.08,7.92,7.83,8,7.92,10,10,10,85.25
87,Indonesia,lintong,"Nomura Trading Co., Ltd.",Sumatra Lintong,7.75,7.83,7.67,8,8.08,7.83,10,10,10,85.17
88,Guatemala,huehuetenango,The Coffee Source Inc.,Caturra,8.25,8,7.67,7.92,7.75,7.67,10,10,10,85.17
89,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATAION,Other,7.75,8,7.58,8,8,7.92,10,10,10,85.08
90,Colombia,pasto,CARCAFE LTDA CI,Caturra,8.17,7.83,7.58,8.08,8,7.75,10,10,10,85.08
91,Ethiopia,aricha,Steven Kil,,8.42,8,7.42,8,7.92,7.92,9.33,10,10,85.08
92,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,85.08
93,Colombia,cundinamarca,CARCAFE LTDA CI,Caturra,7.83,8,7.75,7.75,7.83,7.83,10,10,10,85.08
94,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,85.08
95,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.67,8,7.83,8,7.92,7.83,10,10,10,85.08
96,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,85.08
97,Uganda,eastern uganda,Kyagalanyi Coffee Ltd,SL14,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,85
98,Colombia,huila,Racafe & Cia S.C.A,Caturra,8,7.92,7.75,7.92,7.75,7.83,10,10,10,85
99,Costa Rica,tarrazu,Troy Quimby,Catuai,7.83,8,7.58,7.92,7.92,7.83,10,10,10,85
100,Mexico,veracruz,"El Equimite, Cafetal Biodinámico",Typica,7.83,8,7.83,7.75,7.67,7.83,10,10,10,85
101,Kenya,,SIMON MAHINDA,,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,85
102,Kenya,central kenya,RASHID MOLEDINA & CO. (MSA) LTD.,SL34,7.75,7.83,7.75,8.08,8,7.75,10,10,10,85
103,Brazil,grama valley,NUCOFFEE,Mundo Novo,8,8,7.83,7.83,7.67,7.67,10,10,10,85
104,Mexico,mexico,Young Kim,Pacamara,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,85
105,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.75,7.92,7.75,7.75,8,8,10,10,10,85
106,Guatemala,"chuva, san marcos",Carl Walker,,7.83,8.08,7.67,8,7.75,7.67,10,10,10,85
107,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,84.92
108,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.92,7.83,7.75,7.83,7.75,8,10,10,10,84.92
109,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.83,8,7.58,8,7.92,10,10,10,84.92
110,"Tanzania, United Republic Of",mbeya,Taylor Winch (T) Ltd,Other,8,7.83,7.83,7.92,7.75,7.75,10,10,10,84.92
111,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.92,7.83,7.75,7.75,8,10,10,10,84.92
112,Mexico,coatepec,ARTEMIO ZAPATA TEJEDA,Typica,7.75,8,7.75,7.83,7.5,7.92,10,10,10,84.92
113,Brazil,south of minas,NUCOFFEE,Bourbon,8,7.92,7.75,7.75,8,7.75,10,10,10,84.92
114,Brazil,south of minas,NUCOFFEE,Catuai,8,8,7.75,8,7.5,7.75,10,10,10,84.92
115,Kenya,,Brian Speckman,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,84.92
116,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,84.83
117,Uganda,eastern,Kawacom Uganda LTD,SL14,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,84.83
118,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.67,7.75,7.75,7.75,7.83,8,10,10,10,84.83
119,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,84.83
120,Ethiopia,sidamo,Philip Schluter,,7.42,7.92,7.92,8,7.83,7.83,10,10,10,84.83
121,Thailand,thailand,松澤宏樹 Koju Matsuzawa,Caturra,7.75,7.75,7.75,7.75,8,7.75,10,10,10,84.75
122,Kenya,nyeri,Lydiah Mwangi,SL34,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,84.75
123,Honduras,marcala,CADEXSA,Catuai,7.83,7.75,8,7.67,7.67,7.67,10,10,10,84.75
124,El Salvador,santa ana,The Coffee Source Inc.,,7.75,8,8,8.33,7.67,7.92,10,10,9.33,84.75
125,Nicaragua,jinotega,Grounds for Health Admin,,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,84.75
126,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.83,7.83,7.5,8,7.83,7.67,10,10,10,84.67
127,Indonesia,"temanggung, indonesia",SanJava Coffee,Java,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,84.67
128,Japan,ada okinawa japan,松澤宏樹 Koju Matsuzawa,Mundo Novo,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,84.67
129,Costa Rica,tarrazu,Rodrigo Soto,Catuai,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,84.67
130,Guatemala,acatenango,Juan Luis Alvarado Romero,Bourbon,7.75,7.83,7.58,8,7.92,7.75,10,10,10,84.67
131,Costa Rica,tarrazu,Fabian Calderon Mora,Caturra,8.17,8,7.83,7.17,7.83,7.75,10,10,10,84.67
132,Ethiopia,yirgacheffe,EssenceCoffee,Ethiopian Yirgacheffe,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,84.67
133,Costa Rica,costa rica,EssenceCoffee,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,84.67
134,Costa Rica,west valley,Eric Thormaehlen,Catuai,8,7.58,7.83,7.75,7.75,7.75,10,10,10,84.67
135,Costa Rica,,Rob Tuttle,,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,84.67
136,Taiwan,taichung xinshe 台中市新社區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,8,7.92,7.75,7.75,7.75,7.75,10,10,10,84.67
137,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,84.67
138,Kenya,nyeri,Dream Together,SL28,7.75,7.92,7.83,8,7.58,7.75,10,10,10,84.67
139,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,8,7.83,7.67,7.83,7.67,8,10,10,10,84.67
140,Guatemala,acatenango,Juan Luis Alvarado Romero,Bourbon,7.67,7.83,7.67,8,7.67,7.83,10,10,10,84.67
141,Mexico,el remudadero,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,84.67
142,Uganda,mbale,AFCA,Other,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,84.67
143,Peru,"penachi, cecanor",Benjamin Schmerler,,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,84.67
144,Ethiopia,sidamo,Ethiopia Commodity Exchange,,7.42,7.75,7.75,8,8,7.92,10,10,10,84.67
145,Kenya,nyeri,Jungle Estate,SL34,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,84.58
146,Colombia,santander,Racafe & Cia S.C.A,Other,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,84.58
147,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.92,7.83,7.58,8,7.83,7.67,10,10,10,84.58
148,Kenya,nyeri,Daniel Magu,Peaberry,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,84.58
149,Guatemala,jalapa,Juan Luis Alvarado Romero,Pacas,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,84.58
150,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,8,7.92,7.67,7.58,7.58,7.67,10,10,10,84.58
151,Colombia,santander,Compañia Colombiana Agroindustrial S.A,Caturra,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,84.58
152,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.75,7.83,7.75,7.58,8,10,10,10,84.58
153,Kenya,,Taylor Winch (Coffee) Ltd.,SL28,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,84.58
154,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.67,7.83,7.83,8,7.58,7.92,10,10,10,84.58
155,Costa Rica,tres rios,LUSSO LAB,Bourbon,7.75,7.83,7.75,8,7.83,7.67,10,10,10,84.58
156,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,84.58
157,Brazil,vale da grama,NUCOFFEE,Bourbon,8,8,7.75,7.75,7.58,7.75,10,10,10,84.58
158,Brazil,mountains of minas gerais,NUCOFFEE,Catuai,8.5,8,7.5,7.75,7.5,7.83,10,10,10,84.58
159,Costa Rica,valle central,Max Gurdian,Caturra,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,84.5
160,Uganda,eastern uganda,ECOM Japan Limited,SL14,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,84.5
161,China,yunnan,Yunnan Coffee Exchange,Catimor,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,84.5
162,Costa Rica,tarrazu,Fabian Calderon Mora,Caturra,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,84.5
163,Colombia,cauca,Federacion Nacional de Cafeteros,Other,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,84.5
164,China,yunnan,Eric Wu,Other,7.67,8,7.75,7.83,7.75,7.58,10,10,10,84.5
165,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,84.5
166,Kenya,nyeri,Dream Together,SL28,7.92,7.83,7.67,8,7.67,7.75,10,10,10,84.5
167,Mexico,hustusco,MARIA IMELDA USCANGA MARTINEZ,Typica,8,7.92,7.42,8.08,7.5,7.67,10,10,10,84.5
168,Mexico,jaltenango,ALFREDO BOJALIL,Typica,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,84.5
169,Guatemala,"el tumbador, san marcos",Juan Luis Alvarado Romero,Bourbon,7.67,8,7.67,8,7.5,7.83,10,10,10,84.5
170,Brazil,mmm,Daniel Friedlander,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,84.5
171,Brazil,test,Alexandra Katona-Carroll,,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,84.5
172,Costa Rica,tarrazu,Max Gurdian,Caturra,7.58,7.83,7.83,8,7.67,7.58,10,10,10,84.42
173,Indonesia,sumatra brastagi,Aulia Arif Syahri,Mandheling,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,84.42
174,Colombia,pitalito,CARCAFE LTDA CI,Caturra,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,84.42
175,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,84.42
176,Taiwan,"mountain ali, taiwan",Kao Ming Lee,Typica,7.83,7.83,7.75,8,7.5,7.75,10,10,10,84.42
177,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,84.42
178,Mexico,tapachula,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Pacamara,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,84.42
179,Ethiopia,limu,Ethiopia Commodity Exchange,,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,84.42
180,Kenya,nyeri,Lydiah Mwangi,SL28,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,84.33
181,Honduras,comayagua,Bismarck Castro,Caturra,7.92,8,7.75,7.67,7.67,7.75,10,10,10,84.33
182,Colombia,huila,Raúl Vargas,Caturra,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,84.33
183,Honduras,central region,Bismarck Castro,Catuai,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,84.33
184,Colombia,la plata,Racafe & Cia S.C.A,,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,84.33
185,Colombia,huila,CARCAFE LTDA CI,Caturra,7.75,7.67,8,7.67,8.08,7.83,10,10,10,84.33
186,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,84.33
187,Mexico,tuxtla gutierrez,VICTOR HUGO MELCHOR CORDOVA,Typica,8,7.75,7.75,7.83,7.5,7.67,10,10,10,84.33
188,Brazil,vale da grama,NUCOFFEE,Yellow Bourbon,8.17,8,7.5,7.75,7.5,7.67,10,10,10,84.33
189,Brazil,south of minas,NUCOFFEE,,8,8,7.5,7.5,7.67,7.75,10,10,10,84.33
190,Ethiopia,limu,Benjamin Schmerler,,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,84.33
191,Guatemala,nuevo oriente,The Coffee Source Inc.,,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,84.33
192,Taiwan,國姓鄉 guoshing township,"Lin, Che-Hao Krude 林哲豪",Typica,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,84.25
193,Thailand,chiang rai thailand,松澤宏樹 Koju Matsuzawa,Catimor,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,84.25
194,Colombia,nariño,CARCAFE LTDA CI,Caturra,7.83,7.58,7.75,7.58,7.67,8,10,10,10,84.25
195,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,84.25
196,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Caturra,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,84.25
197,China,yunnan,Yunnan Coffee Exchange,Catimor,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,84.25
198,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,84.25
199,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,84.25
200,Colombia,cauca,Federacion Nacional de Cafeteros,Other,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,84.25
201,Colombia,huila,CARCAFE LTDA CI,Caturra,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,84.25
202,"Tanzania, United Republic Of",shizingo village,Tembo Coffee Company Ltd,Other,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,84.25
203,"Tanzania, United Republic Of",mbeya,Taylor Winch (T) Ltd,Other,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,84.25
204,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,84.25
205,Colombia,cauca,Exportadora de Cafe Condor S.A,Caturra,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,84.25
206,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,84.25
207,Mexico,san pedro cotzilnam,JESUS SALAZAR VELASCO,Typica,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,84.25
208,Mexico,veracruz,MANUEL HERRERA JUAREZ,Bourbon,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,84.25
209,Mexico,"la concordia, chiapas",ALFREDO BOJALIL,Bourbon,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,84.25
210,Uganda,kasese,AFCA,Other,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,84.25
211,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,84.17
212,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,84.17
213,Costa Rica,tarrazu,Wayner Jimenez,Caturra,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,84.17
214,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Caturra,7.75,7.75,7.58,8,7.67,7.83,10,10,10,84.17
215,Guatemala,solola,Juan Luis Alvarado Romero,Caturra,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,84.17
216,Guatemala,norte,Juan Luis Alvarado Romero,Bourbon,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,84.17
217,Colombia,huila,Racafe & Cia S.C.A,Caturra,8,7.5,7.5,7.67,8,7.83,10,10,10,84.17
